site_id,lat,lon,altitude_m,ghi_kwh_m2_yr,slope_deg,area_ha,capacity_mw,grid_km,road_km,land_eur_ha,substation,substation_capacity_mw,annual_mwh,lifetime_mwh,capex_eur,capex_eur_per_kw,lcoe_proxy
S000,32.7812,54.623,1768.0,1947.5,6.23,219.5,120.0,58.25,50.66,5264.0,0,50.0,203319.0,4777996.0,84219388.0,701.8,17.63
S001,31.3111,53.1193,1935.0,2059.1,2.54,110.9,69.0,48.66,50.93,3963.0,4,80.0,123608.0,2904783.0,48231565.0,699.0,16.6
S002,31.9524,52.8103,1800.0,2012.6,8.6,141.9,88.0,112.17,126.0,2529.0,6,20.0,154085.0,3620989.0,69007574.0,784.2,19.06
S003,31.4775,53.7905,1194.0,2067.4,1.82,195.2,120.0,35.38,93.48,6586.0,3,30.0,215837.0,5072159.0,83239995.0,693.7,16.41
S004,32.2006,55.2347,1382.0,1955.5,2.01,54.9,34.0,38.69,38.11,8825.0,7,50.0,57844.0,1359327.0,24290264.0,714.4,17.87
S005,33.3695,52.8581,2088.0,1896.6,4.26,30.7,19.0,86.58,226.37,2916.0,6,20.0,31351.0,736744.0,22777540.0,1198.8,30.92
S006,33.1901,56.3211,2026.0,1901.0,3.47,202.7,120.0,74.19,97.59,4328.0,2,30.0,198464.0,4663913.0,86924030.0,724.4,18.64
S007,31.8755,55.2949,1362.0,2048.6,1.78,45.5,28.0,58.32,50.96,4249.0,7,50.0,49904.0,1172742.0,21039626.0,751.4,17.94
S008,32.0799,53.733,1412.0,1988.5,1.55,72.9,45.0,45.8,133.19,5793.0,8,20.0,77850.0,1829470.0,35625007.0,791.7,19.47
S009,31.1805,53.0307,1209.0,2119.8,0.81,136.3,85.0,48.33,37.67,8583.0,4,80.0,156759.0,3683841.0,58756114.0,691.2,15.95
S010,31.632,53.7256,1308.0,2041.9,5.66,84.3,52.0,51.84,103.34,1800.0,3,30.0,92376.0,2170826.0,39261414.0,755.0,18.09
S011,32.4726,56.3234,1148.0,2000.9,3.71,82.3,51.0,123.95,38.56,4719.0,2,30.0,88780.0,2086328.0,38832979.0,761.4,18.61
S012,31.6357,54.2809,1219.0,2050.8,7.37,74.3,46.0,44.17,102.26,4092.0,3,30.0,82073.0,1928716.0,35195354.0,765.1,18.25
S013,31.0075,56.2907,1676.0,2157.6,4.04,53.8,33.0,22.56,84.16,6559.0,5,80.0,61945.0,1455700.0,25121603.0,761.3,17.26
S014,32.3646,54.8706,1220.0,1927.1,2.6,102.1,63.0,17.14,23.64,14986.0,7,50.0,105624.0,2482172.0,42662720.0,677.2,17.19
S015,31.3008,54.9694,1716.0,2119.2,1.31,58.4,36.0,84.53,30.68,7651.0,3,30.0,66373.0,1559774.0,26497363.0,736.0,16.99
S016,32.6666,55.2441,2187.0,2039.4,2.58,52.4,32.0,63.8,24.88,6638.0,7,50.0,56777.0,1334257.0,22944951.0,717.0,17.2
S017,33.1189,54.4137,1343.0,1906.1,5.79,74.8,46.0,40.05,84.03,3758.0,0,50.0,76282.0,1792630.0,34153545.0,742.5,19.05
S018,31.8372,55.9745,1861.0,2048.8,3.02,80.6,50.0,65.03,39.85,6181.0,1,50.0,89123.0,2094386.0,35927009.0,718.5,17.15
S019,33.0976,53.1182,1106.0,1864.0,5.47,66.8,41.0,47.97,192.62,4850.0,6,20.0,66489.0,1562489.0,35693292.0,870.6,22.84
S020,32.165,55.8261,1569.0,2009.1,1.29,44.4,27.0,94.48,26.71,9125.0,7,50.0,47194.0,1109053.0,20307222.0,752.1,18.31
S021,33.1029,55.5285,2007.0,1946.3,1.56,206.8,120.0,31.26,24.7,10990.0,2,30.0,203194.0,4775052.0,80907508.0,674.2,16.94
S022,32.9565,55.8802,1357.0,1910.7,6.12,20.0,12.0,56.16,54.08,4228.0,2,30.0,19948.0,468771.0,10428066.0,869.0,22.25
S023,31.6555,53.2653,1631.0,2094.6,2.2,137.9,86.0,73.98,90.11,3700.0,4,80.0,156718.0,3682872.0,62851768.0,730.8,17.07
S024,33.3233,55.8107,1331.0,1849.4,5.9,64.5,40.0,24.48,60.3,3856.0,2,30.0,64359.0,1512439.0,28687288.0,717.2,18.97
S025,32.6884,53.6303,1049.0,1927.7,2.44,123.3,77.0,18.14,135.07,6265.0,6,20.0,129137.0,3034711.0,55547329.0,721.4,18.3
S026,31.1093,53.7397,1919.0,2105.7,3.6,193.4,120.0,24.5,64.52,6502.0,4,80.0,219835.0,5166124.0,81286927.0,677.4,15.73
S027,31.8645,54.4451,1954.0,2036.1,2.92,107.7,67.0,52.9,91.84,2973.0,7,50.0,118684.0,2789080.0,48765704.0,727.8,17.48
S028,31.8511,53.9045,1386.0,2005.8,3.55,69.6,43.0,65.94,130.73,1800.0,3,30.0,75037.0,1763369.0,34708910.0,807.2,19.68
S029,30.88,55.0501,1838.0,2144.7,1.25,69.1,43.0,102.39,20.45,7604.0,3,30.0,80233.0,1885481.0,31556434.0,733.9,16.74
S030,30.6161,54.1527,1760.0,2192.6,3.9,75.9,47.0,73.84,101.01,5001.0,3,30.0,89655.0,2106902.0,36734755.0,781.6,17.44
S031,33.0631,54.7485,1402.0,1915.8,3.89,131.0,81.0,25.03,52.25,7114.0,0,50.0,135006.0,3172651.0,55384710.0,683.8,17.46
S032,31.9722,56.3217,1438.0,2022.1,0.77,48.3,30.0,81.56,30.28,9476.0,1,50.0,52777.0,1240255.0,22271450.0,742.4,17.96
S033,32.7329,54.9785,1125.0,1960.8,2.69,50.8,31.0,59.32,26.0,6740.0,7,50.0,52883.0,1242745.0,22209665.0,716.4,17.87
S034,33.0382,56.3817,1805.0,1962.0,1.22,124.0,77.0,85.77,99.13,3811.0,2,30.0,131434.0,3088708.0,57663583.0,748.9,18.67
S035,31.1587,55.4293,1286.0,2068.7,7.18,43.9,27.0,65.12,31.97,6855.0,1,50.0,48594.0,1141953.0,20036199.0,742.1,17.55
S036,31.8224,55.5038,1407.0,2013.2,4.23,147.8,92.0,77.6,33.8,7151.0,7,50.0,161137.0,3786708.0,65649376.0,713.6,17.34
S037,30.7259,55.9917,2029.0,2219.4,3.24,71.2,44.0,33.34,91.23,3889.0,5,80.0,84959.0,1996528.0,32739498.0,744.1,16.4
S038,32.1222,53.4695,1251.0,1969.8,4.29,114.4,71.0,53.85,144.68,4459.0,8,20.0,121675.0,2859352.0,54030538.0,761.0,18.9
S039,32.7081,53.5739,1437.0,1922.4,1.74,169.4,105.0,12.73,140.61,6960.0,6,20.0,175611.0,4126864.0,73492146.0,699.9,17.81
S040,31.2455,56.2853,1090.0,2064.7,1.61,108.6,67.0,17.42,66.75,8521.0,1,50.0,120351.0,2828257.0,46335661.0,691.6,16.38
S041,33.1647,55.7957,1503.0,1880.8,5.57,102.8,64.0,32.89,50.06,8489.0,2,30.0,104723.0,2460989.0,44813954.0,700.2,18.21
S042,31.6358,56.1175,1348.0,2079.6,5.96,50.9,31.0,41.5,41.57,9919.0,1,50.0,56087.0,1318040.0,22742189.0,733.6,17.25
S043,31.1118,55.138,1386.0,2091.7,2.47,108.3,67.0,93.33,6.65,11242.0,1,50.0,121925.0,2865242.0,48154195.0,718.7,16.81
S044,32.4281,53.5673,1510.0,2010.2,2.71,59.5,37.0,27.86,139.97,6172.0,8,20.0,64708.0,1520646.0,30135405.0,814.5,19.82
S045,32.704,56.0474,1588.0,1922.3,0.7,38.8,24.0,88.26,58.91,2323.0,2,30.0,40138.0,943234.0,19120940.0,796.7,20.27
S046,32.3455,55.9219,1056.0,2010.7,0.45,39.3,24.0,104.23,25.75,6931.0,7,50.0,41983.0,986610.0,18200734.0,758.4,18.45
S047,31.7136,55.0117,1764.0,1995.9,2.73,175.4,109.0,58.57,66.16,2023.0,7,50.0,189271.0,4447873.0,76124652.0,698.4,17.11
S048,32.3687,54.9977,1574.0,1990.0,2.1,150.1,93.0,23.59,16.48,12947.0,7,50.0,161011.0,3783756.0,62289908.0,669.8,16.46
S049,33.0157,54.5688,1197.0,1875.7,3.08,20.0,12.0,36.62,68.41,4938.0,0,50.0,19582.0,460184.0,10808335.0,900.7,23.49
S050,31.2355,55.4159,1686.0,1991.5,3.73,49.3,30.0,65.39,34.89,6130.0,1,50.0,51978.0,1221487.0,22059970.0,735.3,18.06
S051,33.0377,53.4205,1591.0,1946.9,10.09,97.6,60.0,28.15,163.86,4015.0,6,20.0,101628.0,2388262.0,46669234.0,777.8,19.54
S052,30.7811,53.0499,1355.0,2158.5,5.04,119.0,74.0,50.9,11.25,10184.0,4,80.0,138964.0,3265659.0,51043136.0,689.8,15.63
S053,32.0777,55.4284,1844.0,1979.5,4.73,220.4,120.0,58.95,59.31,2329.0,7,50.0,206660.0,4856505.0,83745072.0,697.9,17.24
S054,30.625,55.4589,1592.0,2136.0,1.86,54.2,33.0,85.47,57.96,3494.0,5,80.0,61325.0,1441127.0,25372694.0,768.9,17.61
S055,31.316,54.5654,1715.0,2126.8,3.16,25.2,15.0,46.3,59.87,4045.0,3,30.0,27755.0,652236.0,12526914.0,835.1,19.21
S056,31.6716,55.8437,1375.0,2066.3,3.03,132.9,83.0,51.69,19.2,7793.0,1,50.0,149208.0,3506377.0,57013161.0,686.9,16.26
S057,32.3318,55.7057,1244.0,1984.5,3.05,94.0,58.0,83.91,41.7,5262.0,7,50.0,100138.0,2353240.0,42258621.0,728.6,17.96
S058,32.62,53.9653,2007.0,1959.9,3.13,164.8,102.0,18.72,102.98,6482.0,8,20.0,173922.0,4087156.0,70585684.0,692.0,17.27
S059,31.1263,53.0764,1041.0,2120.6,2.88,205.5,120.0,42.29,30.84,10708.0,4,80.0,221391.0,5202680.0,82355238.0,686.3,15.83
