sites,capacity_mw,lifetime_gwh,capex_meur,eur_per_mwh,risk,feasible,violation,max_substation_share
5,207.0,8715.7,146.2,16.77,0.1329,True,0.0,0.227
8,232.0,9618.3,182.5,18.98,0.0845,True,0.0,0.168
6,233.0,10091.0,169.5,16.8,0.1331,True,0.0,0.232
5,220.0,9615.5,157.9,16.42,0.2091,True,0.0,0.273
6,207.0,8512.1,147.7,17.35,0.124,True,0.0,0.227
6,231.0,10045.6,169.4,16.86,0.1858,True,0.0,0.299
5,209.0,9037.6,149.2,16.51,0.1582,True,0.0,0.258
8,232.0,9618.3,182.5,18.98,0.0845,True,0.0,0.168
8,229.0,9569.2,177.9,18.59,0.0886,True,0.0,0.205
5,219.0,9512.9,158.6,16.67,0.1985,True,0.0,0.279
8,230.0,9657.0,177.4,18.37,0.0895,True,0.0,0.204
6,208.0,8603.6,148.4,17.25,0.1245,True,0.0,0.226
5,210.0,9084.2,149.6,16.46,0.1574,True,0.0,0.257
8,226.0,9382.7,173.7,18.51,0.0861,True,0.0,0.173
7,232.0,9772.0,175.9,18.0,0.0959,True,0.0,0.19
6,233.0,9942.7,170.3,17.13,0.1144,True,0.0,0.232
5,207.0,8715.7,146.2,16.77,0.1329,True,0.0,0.227
8,223.0,9337.9,167.8,17.97,0.09,True,0.0,0.211
8,225.0,9408.8,172.9,18.37,0.0871,True,0.0,0.173
7,231.0,9961.5,169.8,17.04,0.1237,True,0.0,0.277
6,233.0,10006.8,169.0,16.89,0.1417,True,0.0,0.21
7,231.0,9661.4,171.5,17.75,0.0956,True,0.0,0.177
8,211.0,8853.2,159.9,18.06,0.0934,True,0.0,0.223
5,219.0,9512.9,158.6,16.67,0.1985,True,0.0,0.279
6,224.0,9600.0,161.4,16.81,0.1205,True,0.0,0.272
6,221.0,9474.2,157.8,16.66,0.121,True,0.0,0.244
7,217.0,9163.7,159.3,17.38,0.1103,True,0.0,0.217
5,208.0,8983.6,149.2,16.61,0.1546,True,0.0,0.293
6,227.0,9736.5,163.2,16.76,0.1198,True,0.0,0.269
7,220.0,9272.5,163.7,17.65,0.1084,True,0.0,0.214
5,213.0,9213.2,152.6,16.57,0.1446,True,0.0,0.286
6,208.0,8603.6,148.4,17.25,0.1245,True,0.0,0.226
7,230.0,9685.9,171.8,17.73,0.0964,True,0.0,0.191
6,209.0,8933.2,150.1,16.8,0.1157,True,0.0,0.225
5,227.0,9903.1,163.7,16.53,0.2039,True,0.0,0.269
7,216.0,8978.5,165.1,18.39,0.0993,True,0.0,0.218
6,207.0,8543.8,148.3,17.36,0.1257,True,0.0,0.227
7,233.0,9707.7,172.8,17.8,0.0982,True,0.0,0.202
6,232.0,9977.6,167.0,16.74,0.1438,True,0.0,0.233
7,225.0,9570.3,164.5,17.18,0.1037,True,0.0,0.209
5,215.0,9240.1,153.2,16.58,0.1504,True,0.0,0.251
6,216.0,9204.9,154.7,16.81,0.1269,True,0.0,0.227
6,228.0,9795.2,163.7,16.71,0.129,True,0.0,0.237
7,215.0,9073.9,158.0,17.41,0.1022,True,0.0,0.219
6,227.0,9797.9,162.7,16.61,0.1404,True,0.0,0.238
6,227.0,9698.6,161.7,16.68,0.1168,True,0.0,0.251
7,215.0,9140.8,160.0,17.5,0.1043,True,0.0,0.219
5,207.0,8861.3,147.8,16.68,0.1363,True,0.0,0.275
6,214.0,9161.8,154.1,16.82,0.1191,True,0.0,0.229
7,232.0,9772.0,175.9,18.0,0.0959,True,0.0,0.19
6,233.0,9975.1,168.4,16.88,0.1237,True,0.0,0.21
5,218.0,9425.8,155.3,16.48,0.1533,True,0.0,0.248
5,229.0,9911.6,163.9,16.53,0.137,True,0.0,0.262
5,225.0,9713.4,161.1,16.59,0.1472,True,0.0,0.271
8,226.0,9382.7,173.7,18.51,0.0861,True,0.0,0.173
5,219.0,9393.1,156.1,16.62,0.1403,True,0.0,0.279
5,219.0,9522.7,158.3,16.63,0.206,True,0.0,0.279
6,226.0,9568.2,159.5,16.67,0.113,True,0.0,0.208
